10, 792, 1890, 23.04, 55, N/A, 0x0000000000000001
11, 792, 1890, 22.32, 55, N/A, 0x0000000000000001
10, 772, 1890, 21.69, 55, N/A, 0x0000000000000001
12, 792, 1890, 21.64, 56, N/A, 0x0000000000000001
11, 772, 1890, 21.70, 56, N/A, 0x0000000000000001
9, 772, 1890, 21.68, 56, N/A, 0x0000000000000001
11, 792, 1890, 21.68, 56, N/A, 0x0000000000000001
9, 792, 1890, 21.67, 56, N/A, 0x0000000000000001
9, 792, 1890, 21.67, 57, N/A, 0x0000000000000001
11, 792, 1890, 22.47, 57, N/A, 0x0000000000000001
10, 792, 1890, 22.05, 57, N/A, 0x0000000000000001
7, 792, 1890, 21.61, 57, N/A, 0x0000000000000001
9, 792, 1890, 21.66, 57, N/A, 0x0000000000000001
9, 772, 1890, 23.11, 57, N/A, 0x0000000000000001
10, 792, 1890, 23.11, 57, N/A, 0x0000000000000001
9, 792, 1890, 23.17, 57, N/A, 0x0000000000000001
11, 792, 1890, 21.68, 57, N/A, 0x0000000000000001
19, 792, 1890, 21.71, 59, N/A, 0x0000000000000001
14, 792, 1890, 21.67, 59, N/A, 0x0000000000000001
30, 792, 1890, 21.64, 60, N/A, 0x0000000000000001
23, 772, 1890, 21.68, 60, N/A, 0x0000000000000001
32, 792, 1890, 22.38, 60, N/A, 0x0000000000000001
33, 792, 1890, 22.80, 60, N/A, 0x0000000000000001
45, 792, 1890, 23.13, 60, N/A, 0x0000000000000001
54, 772, 1890, 22.05, 59, N/A, 0x0000000000000001
48, 792, 1890, 21.72, 59, N/A, 0x0000000000000001
40, 772, 1890, 21.78, 61, N/A, 0x0000000000000001
31, 792, 1890, 21.73, 61, N/A, 0x0000000000000001
22, 772, 1890, 21.74, 61, N/A, 0x0000000000000001
54, 772, 1890, 21.76, 60, N/A, 0x0000000000000001
10, 792, 1890, 21.75, 59, N/A, 0x0000000000000001
11, 792, 1890, 21.70, 59, N/A, 0x0000000000000001
9, 792, 1890, 23.10, 59, N/A, 0x0000000000000001
13, 772, 1890, 23.15, 59, N/A, 0x0000000000000001
10, 792, 1890, 23.03, 59, N/A, 0x0000000000000001
9, 792, 1890, 22.36, 59, N/A, 0x0000000000000001
11, 772, 1890, 21.66, 59, N/A, 0x0000000000000001
9, 792, 1890, 21.68, 59, N/A, 0x0000000000000001
9, 792, 1890, 21.71, 59, N/A, 0x0000000000000001
10, 792, 1890, 21.73, 59, N/A, 0x0000000000000001
8, 792, 1890, 22.12, 60, N/A, 0x0000000000000001
23, 792, 1890, 23.23, 62, N/A, 0x0000000000000001
52, 792, 1890, 22.89, 60, N/A, 0x0000000000000001
19, 792, 1890, 21.78, 60, N/A, 0x0000000000000001
12, 772, 1890, 21.80, 60, N/A, 0x0000000000000001
9, 772, 1890, 21.80, 60, N/A, 0x0000000000000001
10, 772, 1890, 23.22, 60, N/A, 0x0000000000000001
9, 792, 1890, 23.23, 60, N/A, 0x0000000000000001
9, 792, 1890, 22.55, 60, N/A, 0x0000000000000001
10, 792, 1890, 22.15, 60, N/A, 0x0000000000000001
11, 792, 1890, 22.53, 60, N/A, 0x0000000000000001
10, 792, 1890, 22.92, 60, N/A, 0x0000000000000001
14, 772, 1890, 22.51, 60, N/A, 0x0000000000000001
10, 772, 1890, 21.85, 60, N/A, 0x0000000000000001
11, 792, 1890, 21.82, 60, N/A, 0x0000000000000001
38, 772, 1890, 21.85, 63, N/A, 0x0000000000000001
54, 792, 1890, 22.26, 61, N/A, 0x0000000000000001
37, 792, 1890, 23.25, 61, N/A, 0x0000000000000001
11, 792, 1890, 22.77, 61, N/A, 0x0000000000000001
10, 792, 1890, 21.76, 61, N/A, 0x0000000000000001
11, 772, 1890, 21.81, 61, N/A, 0x0000000000000001
17, 772, 1890, 21.90, 61, N/A, 0x0000000000000001
42, 792, 1890, 22.77, 61, N/A, 0x0000000000000001
49, 792, 1890, 23.07, 61, N/A, 0x0000000000000001
49, 792, 1890, 23.19, 62, N/A, 0x0000000000000001
47, 792, 1890, 21.97, 62, N/A, 0x0000000000000001
9, 772, 1890, 21.88, 62, N/A, 0x0000000000000001
11, 792, 1890, 21.86, 61, N/A, 0x0000000000000001
10, 792, 1890, 21.84, 61, N/A, 0x0000000000000001
10, 772, 1890, 22.20, 61, N/A, 0x0000000000000001
9, 772, 1890, 22.36, 61, N/A, 0x0000000000000001
9, 792, 1890, 22.23, 61, N/A, 0x0000000000000001
10, 792, 1890, 23.33, 61, N/A, 0x0000000000000001
9, 792, 1890, 23.04, 61, N/A, 0x0000000000000001
33, 792, 1890, 21.93, 61, N/A, 0x0000000000000001
52, 772, 1890, 21.88, 61, N/A, 0x0000000000000001
47, 792, 1890, 22.34, 63, N/A, 0x0000000000000001
35, 772, 1890, 22.73, 63, N/A, 0x0000000000000001
24, 792, 1890, 23.28, 64, N/A, 0x0000000000000001
9, 792, 1890, 23.37, 62, N/A, 0x0000000000000001
9, 792, 1890, 21.93, 62, N/A, 0x0000000000000001
9, 792, 1890, 21.90, 62, N/A, 0x0000000000000001
10, 792, 1890, 21.91, 62, N/A, 0x0000000000000001
15, 794, 1890, 23.31, 62, N/A, 0x0000000000000001
50, 772, 1890, 23.34, 62, N/A, 0x0000000000000001
33, 792, 1890, 23.23, 64, N/A, 0x0000000000000001
