10, 802, 1890, 23.22
10, 802, 1890, 21.82
9, 802, 1890, 21.82
10, 802, 1890, 21.78
9, 802, 1890, 21.76
10, 782, 1890, 22.78
11, 802, 1890, 23.20
9, 782, 1890, 23.24
9, 802, 1890, 23.06
10, 802, 1890, 21.71
11, 802, 1890, 21.85
11, 802, 1890, 22.40
11, 802, 1890, 23.00
11, 802, 1890, 21.80
11, 802, 1890, 21.83
10, 804, 1890, 21.84
12, 782, 1890, 22.60
10, 802, 1890, 21.86
11, 802, 1890, 21.83
9, 802, 1890, 21.82
11, 802, 1890, 21.78
8, 802, 1890, 21.88
7, 802, 1890, 21.92
8, 802, 1890, 21.93
8, 802, 1890, 21.91
11, 802, 1890, 21.85
10, 802, 1890, 21.92
10, 804, 1890, 21.99
9, 804, 1890, 21.91
9, 802, 1890, 21.92
9, 802, 1890, 21.98
10, 802, 1890, 23.47
9, 802, 1890, 23.47
10, 804, 1890, 21.92
8, 804, 1890, 21.86
11, 802, 1890, 21.79
9, 802, 1890, 21.69
9, 802, 1890, 20.26
50, 802, 1890, 21.42
10, 802, 1890, 21.70
11, 802, 1890, 21.81
9, 802, 1890, 21.75
11, 802, 1890, 21.74
8, 802, 1890, 21.76
10, 802, 1890, 21.80
9, 802, 1890, 21.82
14, 802, 1890, 21.78
31, 782, 1890, 21.76
12, 802, 1890, 21.87
10, 802, 1890, 22.84
11, 802, 1890, 22.17
9, 802, 1890, 21.80
15, 802, 1890, 21.70
45, 802, 1890, 21.69
39, 802, 1890, 21.70
8, 802, 1890, 21.67
9, 782, 1890, 21.72
11, 802, 1890, 21.70
10, 782, 1890, 21.74
33, 802, 1890, 21.57
8, 802, 1890, 20.37
8, 802, 1890, 18.57
9, 802, 1890, 20.01
10, 802, 1890, 21.07
9, 802, 1890, 21.78
11, 802, 1890, 23.18
9, 804, 1890, 23.25
11, 782, 1890, 23.38
9, 802, 1890, 21.78
11, 782, 1890, 21.70
8, 802, 1890, 21.64
10, 802, 1890, 21.99
7, 802, 1890, 21.67
11, 802, 1890, 21.86
8, 802, 1890, 22.09
36, 802, 1890, 21.71
53, 802, 1890, 22.61
36, 802, 1890, 22.58
20, 802, 1890, 21.67
9, 818, 1890, 22.19
11, 826, 1890, 21.53
8, 825, 1890, 21.62
11, 825, 1890, 22.34
10, 807, 1890, 22.52
8, 809, 1890, 22.27
9, 809, 1890, 21.73
