unixtime,equiv_cores,pkg_temp_c,max_core_temp_c,freq_p_mhz,freq_e_mhz,freq_lpe_mhz,util_cpu0
1789830828.002,14.485,92.000,93.000,3804.415,3070.677,2300.011,0.700
1789830828.106,14.150,92.000,94.000,4003.686,2834.923,2299.982,0.636
1789830828.210,4.917,92.000,94.000,1798.774,906.587,400.000,0.111
1789830828.317,12.951,92.000,94.000,4424.101,3301.278,2392.766,0.583
1789830828.423,11.815,92.000,94.000,4486.868,3301.389,2408.510,0.444
1789830828.530,15.394,92.000,94.000,4170.917,2786.830,2388.229,0.700
1789830828.641,14.380,92.000,94.000,4067.235,2903.116,2473.329,0.583
1789830828.744,5.088,92.000,94.000,4348.992,3234.480,2183.970,0.100
1789830828.848,13.423,92.000,94.000,4180.120,3138.963,2200.009,0.400
1789830828.951,13.296,92.000,94.000,4376.237,3298.912,2492.299,0.600
1789830829.054,13.973,99.000,99.000,4462.241,3301.362,2400.039,0.545
1789830829.158,8.364,99.000,99.000,1290.836,1112.145,1099.726,0.333
1789830829.260,6.649,99.000,99.000,4075.314,3280.717,2199.989,0.273
1789830829.364,9.681,99.000,99.000,3835.472,3301.436,2500.554,0.400
1789830829.467,8.844,99.000,99.000,4287.967,3301.368,2134.723,0.400
1789830829.571,7.064,99.000,99.000,2836.083,1360.504,2148.057,0.300
1789830829.674,6.622,99.000,99.000,4274.825,3301.381,2299.042,0.273
1789830829.776,10.306,99.000,99.000,4326.401,3307.573,2199.947,0.400
1789830829.880,11.853,99.000,99.000,4343.028,3310.382,2294.559,0.444
1789830829.983,10.698,99.000,99.000,2776.555,1690.331,2028.178,0.545
1789830830.088,3.582,95.000,95.000,2931.474,2633.664,1101.621,0.100
1789830830.192,12.237,95.000,97.000,4017.581,3033.686,2266.325,0.600
1789830830.297,14.090,95.000,97.000,4156.663,3309.332,2300.014,0.600
1789830830.403,14.403,95.000,97.000,4081.725,3367.412,2299.996,0.600
1789830830.506,13.327,95.000,97.000,4310.092,2862.665,2162.033,0.600
1789830830.609,6.297,95.000,97.000,3894.227,2545.624,2338.559,0.545
1789830830.712,14.529,95.000,97.000,4223.351,3311.843,2324.584,0.600
1789830830.814,11.969,95.000,97.000,4256.938,2551.869,2334.923,0.556
1789830830.917,12.266,95.000,97.000,3447.147,2242.043,2200.016,0.545
1789830831.022,14.631,95.000,97.000,4204.816,3093.160,2299.977,0.727
1789830831.124,6.257,94.000,97.000,3427.289,2299.991,1412.531,0.111
1789830831.228,10.087,94.000,94.000,3841.842,3166.774,2189.298,0.500
1789830831.334,14.057,94.000,94.000,4231.601,3069.426,2299.990,0.700
1789830831.440,12.800,94.000,94.000,3848.602,3021.917,2351.787,0.500
1789830831.544,12.609,94.000,94.000,3397.561,2726.277,2500.010,0.500
1789830831.647,11.219,94.000,94.000,2090.497,996.229,1260.048,0.500
1789830831.753,5.964,94.000,94.000,4407.886,3304.257,2417.999,0.200
1789830831.861,13.298,94.000,94.000,4166.599,3176.904,2369.872,0.600
1789830831.970,12.750,94.000,94.000,4112.981,3177.821,2199.943,0.700
1789830832.074,13.412,94.000,94.000,3671.567,2778.569,2165.063,0.400
1789830832.178,7.364,96.000,96.000,2054.221,710.226,400.000,0.300
1789830832.281,9.109,96.000,96.000,4257.110,3241.201,2199.999,0.364
1789830832.385,13.536,96.000,96.000,4288.786,3288.170,2398.429,0.636
1789830832.488,12.866,96.000,96.000,4331.143,3301.399,2364.372,0.556
1789830832.592,12.566,96.000,96.000,3876.866,3112.174,2175.646,0.500
1789830832.696,5.108,96.000,96.000,2061.741,683.508,2356.750,0.200
1789830832.800,11.564,96.000,96.000,4225.429,3004.687,2199.949,0.455
1789830832.907,12.658,96.000,96.000,4187.533,3116.300,2290.087,0.500
1789830833.010,13.982,96.000,96.000,4194.796,2722.493,2419.186,0.600
1789830833.112,13.848,96.000,96.000,3323.709,2522.653,2349.006,0.600
1789830833.223,4.009,96.000,96.000,4553.323,3256.113,2480.150,0.182
1789830833.326,14.109,96.000,96.000,3732.481,2666.797,2200.007,0.727
1789830833.433,14.509,96.000,96.000,4185.822,3097.648,2319.481,0.636
1789830833.538,14.145,96.000,96.000,4163.575,2941.139,2300.014,0.700
1789830833.642,9.581,96.000,96.000,2141.780,400.000,752.967,0.400
1789830833.745,7.170,96.000,96.000,4244.970,3111.935,2165.351,0.364
1789830833.848,13.521,96.000,96.000,4174.544,2631.441,2299.977,0.600
1789830833.951,13.230,96.000,96.000,3774.993,3089.122,2383.837,0.500
1789830834.054,14.029,96.000,96.000,4165.929,3097.365,2254.282,0.600
1789830834.156,7.462,96.000,96.000,2410.860,1232.336,1300.980,0.200
