10, 723, 1890, 21.72, 58, N/A, 0x0000000000000001
10, 723, 1890, 21.75, 58, N/A, 0x0000000000000001
11, 723, 1890, 22.93, 58, N/A, 0x0000000000000001
15, 723, 1890, 23.21, 60, N/A, 0x0000000000000001
45, 723, 1890, 22.11, 61, N/A, 0x0000000000000001
50, 703, 1890, 21.80, 60, N/A, 0x0000000000000001
52, 723, 1890, 21.81, 60, N/A, 0x0000000000000001
52, 703, 1890, 21.83, 60, N/A, 0x0000000000000001
45, 723, 1890, 21.74, 61, N/A, 0x0000000000000001
49, 723, 1890, 21.76, 60, N/A, 0x0000000000000001
37, 723, 1890, 21.75, 62, N/A, 0x0000000000000001
36, 725, 1890, 21.76, 62, N/A, 0x0000000000000001
24, 725, 1890, 21.77, 61, N/A, 0x0000000000000001
11, 723, 1890, 21.81, 61, N/A, 0x0000000000000001
9, 723, 1890, 23.20, 60, N/A, 0x0000000000000001
51, 723, 1890, 23.24, 61, N/A, 0x0000000000000001
52, 703, 1890, 23.21, 61, N/A, 0x0000000000000001
42, 723, 1890, 23.21, 61, N/A, 0x0000000000000001
52, 703, 1890, 21.85, 62, N/A, 0x0000000000000001
27, 723, 1890, 21.86, 62, N/A, 0x0000000000000001
26, 723, 1890, 21.85, 63, N/A, 0x0000000000000001
9, 723, 1890, 21.75, 61, N/A, 0x0000000000000001
10, 723, 1890, 21.80, 61, N/A, 0x0000000000000001
9, 723, 1890, 21.84, 61, N/A, 0x0000000000000001
9, 723, 1890, 21.82, 61, N/A, 0x0000000000000001
7, 703, 1890, 21.82, 61, N/A, 0x0000000000000001
10, 723, 1890, 21.81, 61, N/A, 0x0000000000000001
9, 703, 1890, 21.83, 61, N/A, 0x0000000000000001
10, 723, 1890, 21.84, 61, N/A, 0x0000000000000001
9, 723, 1890, 21.84, 61, N/A, 0x0000000000000001
9, 723, 1890, 21.81, 62, N/A, 0x0000000000000001
11, 703, 1890, 21.84, 62, N/A, 0x0000000000000001
8, 723, 1890, 21.90, 62, N/A, 0x0000000000000001
10, 723, 1890, 21.82, 62, N/A, 0x0000000000000001
7, 723, 1890, 21.80, 61, N/A, 0x0000000000000001
8, 723, 1890, 21.80, 62, N/A, 0x0000000000000001
9, 723, 1890, 22.27, 62, N/A, 0x0000000000000001
9, 723, 1890, 21.76, 62, N/A, 0x0000000000000001
9, 703, 1890, 21.79, 62, N/A, 0x0000000000000001
9, 723, 1890, 21.89, 62, N/A, 0x0000000000000001
9, 723, 1890, 21.90, 62, N/A, 0x0000000000000001
9, 723, 1890, 21.88, 62, N/A, 0x0000000000000001
11, 723, 1890, 21.84, 63, N/A, 0x0000000000000001
15, 723, 1890, 21.91, 63, N/A, 0x0000000000000001
22, 723, 1890, 21.90, 63, N/A, 0x0000000000000001
24, 723, 1890, 21.88, 63, N/A, 0x0000000000000001
36, 723, 1890, 23.47, 63, N/A, 0x0000000000000001
13, 703, 1890, 23.54, 63, N/A, 0x0000000000000001
9, 723, 1890, 23.44, 63, N/A, 0x0000000000000001
8, 723, 1890, 21.99, 63, N/A, 0x0000000000000001
10, 723, 1890, 21.95, 63, N/A, 0x0000000000000001
10, 723, 1890, 22.06, 63, N/A, 0x0000000000000001
9, 723, 1890, 22.10, 63, N/A, 0x0000000000000001
9, 723, 1890, 22.04, 63, N/A, 0x0000000000000001
8, 723, 1890, 21.97, 63, N/A, 0x0000000000000001
9, 725, 1890, 22.04, 63, N/A, 0x0000000000000001
10, 703, 1890, 21.97, 63, N/A, 0x0000000000000001
11, 723, 1890, 22.03, 63, N/A, 0x0000000000000001
8, 725, 1890, 22.06, 63, N/A, 0x0000000000000001
9, 725, 1890, 22.03, 63, N/A, 0x0000000000000001
8, 723, 1890, 23.49, 63, N/A, 0x0000000000000001
9, 723, 1890, 21.99, 63, N/A, 0x0000000000000001
10, 723, 1890, 23.52, 63, N/A, 0x0000000000000001
11, 723, 1890, 23.53, 63, N/A, 0x0000000000000001
11, 723, 1890, 22.08, 63, N/A, 0x0000000000000001
10, 723, 1890, 22.04, 63, N/A, 0x0000000000000001
11, 723, 1890, 22.01, 63, N/A, 0x0000000000000001
9, 703, 1890, 22.02, 63, N/A, 0x0000000000000001
11, 723, 1890, 22.03, 63, N/A, 0x0000000000000001
10, 723, 1890, 22.05, 63, N/A, 0x0000000000000001
10, 723, 1890, 22.01, 63, N/A, 0x0000000000000001
9, 723, 1890, 21.99, 63, N/A, 0x0000000000000001
10, 723, 1890, 22.00, 63, N/A, 0x0000000000000001
9, 723, 1890, 22.03, 63, N/A, 0x0000000000000001
8, 723, 1890, 22.03, 63, N/A, 0x0000000000000001
9, 723, 1890, 23.47, 63, N/A, 0x0000000000000001
9, 703, 1890, 23.50, 63, N/A, 0x0000000000000001
8, 723, 1890, 23.47, 63, N/A, 0x0000000000000001
31, 703, 1890, 22.09, 66, N/A, 0x0000000000000001
49, 723, 1890, 22.11, 65, N/A, 0x0000000000000001
53, 723, 1890, 22.05, 64, N/A, 0x0000000000000001
53, 723, 1890, 22.01, 64, N/A, 0x0000000000000001
50, 723, 1890, 21.98, 65, N/A, 0x0000000000000001
8, 723, 1890, 22.04, 64, N/A, 0x0000000000000001
8, 725, 1890, 22.04, 63, N/A, 0x0000000000000001
8, 725, 1890, 22.00, 64, N/A, 0x0000000000000001
