10, 802, 1890, 21.70
22, 802, 1890, 21.69
51, 802, 1890, 21.68
40, 802, 1890, 21.69
55, 802, 1890, 21.67
53, 798, 1890, 22.20
37, 826, 1890, 22.60
25, 805, 1890, 22.83
20, 825, 1890, 22.27
11, 807, 1890, 22.07
13, 807, 1890, 21.68
52, 807, 1890, 21.66
53, 807, 1890, 21.68
51, 807, 1890, 21.66
55, 807, 1890, 21.66
20, 807, 1890, 21.75
10, 802, 1890, 21.77
9, 802, 1890, 21.71
10, 782, 1890, 22.30
10, 802, 1890, 23.15
9, 782, 1890, 21.79
9, 802, 1890, 21.75
9, 802, 1890, 22.12
9, 802, 1890, 23.32
6, 802, 1890, 22.95
9, 802, 1890, 23.06
9, 804, 1890, 23.14
9, 782, 1890, 21.77
10, 802, 1890, 21.79
10, 782, 1890, 21.75
12, 802, 1890, 21.72
8, 782, 1890, 21.72
9, 802, 1890, 22.52
9, 802, 1890, 22.75
10, 802, 1890, 22.57
9, 802, 1890, 22.42
9, 782, 1890, 21.91
9, 802, 1890, 21.81
11, 802, 1890, 21.88
23, 802, 1890, 21.84
51, 802, 1890, 21.83
53, 802, 1890, 21.91
44, 802, 1890, 21.97
37, 802, 1890, 21.96
52, 802, 1890, 22.49
34, 802, 1890, 23.34
10, 802, 1890, 22.85
12, 782, 1890, 21.89
10, 802, 1890, 21.91
11, 782, 1890, 21.90
11, 802, 1890, 22.20
11, 802, 1890, 22.65
12, 802, 1890, 23.35
28, 802, 1890, 22.56
51, 802, 1890, 21.86
33, 802, 1890, 21.87
7, 802, 1890, 21.89
10, 802, 1890, 22.65
8, 782, 1890, 23.38
9, 802, 1890, 23.34
10, 802, 1890, 23.42
10, 802, 1890, 22.01
9, 802, 1890, 21.99
10, 802, 1890, 22.05
8, 804, 1890, 22.02
9, 804, 1890, 22.05
9, 802, 1890, 22.05
9, 802, 1890, 22.02
10, 802, 1890, 22.01
9, 782, 1890, 22.02
9, 802, 1890, 22.03
9, 782, 1890, 22.01
9, 802, 1890, 22.44
12, 802, 1890, 22.74
9, 802, 1890, 22.89
8, 802, 1890, 22.78
10, 802, 1890, 22.68
8, 804, 1890, 22.09
11, 782, 1890, 22.00
12, 802, 1890, 22.00
9, 802, 1890, 21.99
10, 802, 1890, 21.95
9, 802, 1890, 22.01
7, 802, 1890, 21.96
9, 802, 1890, 21.95
9, 802, 1890, 22.03
